Step,Player,Start_Cash,Risk_Ratio,End_Cash,Rank,Asset_Gap_From_Top,Inv_Stock_W,Return_Stock_W,Inv_Stock_X,Return_Stock_X,Inv_Stock_Y,Return_Stock_Y,Inv_Stock_Z,Return_Stock_Z,Is_Ranking_Published
21,Player_A,100044.8,0.0,100044.8,-,-,0.0,0.095,0.0,-0.158,0.0,0.009,0.0,-0.02,False
21,Player_B,84254.6,0.8,83005.2,-,-,16850.9,0.095,16850.9,-0.158,16850.9,0.009,16850.9,-0.02,False
21,Player_C,96739.6,0.8,95305.1,-,-,19347.9,0.095,19347.9,-0.158,19347.9,0.009,19347.9,-0.02,False
21,Player_D,93971.4,0.8,92577.9,-,-,18794.3,0.095,18794.3,-0.158,18794.3,0.009,18794.3,-0.02,False
22,Player_A,100044.8,0.0,100044.8,1,0.0,0.0,0.1,0.0,-0.093,0.0,0.009,0.0,-0.032,True
22,Player_B,83005.2,0.9,81879.1,4,17039.6,24901.6,0.1,33202.1,-0.093,0.0,0.009,16601.0,-0.032,True
22,Player_C,95305.1,0.75,94732.6,2,4739.7,14295.8,0.1,19061.0,-0.093,23826.3,0.009,14295.8,-0.032,True
22,Player_D,92577.9,0.75,92021.8,3,7466.9,13886.7,0.1,18515.6,-0.093,23144.5,0.009,13886.7,-0.032,True
23,Player_A,100044.8,0.0,100044.8,-,-,0.0,0.039,0.0,-0.112,0.0,0.013,0.0,-0.1,False
23,Player_B,81879.1,0.8,79259.6,-,-,16375.8,0.039,16375.8,-0.112,16375.8,0.013,16375.8,-0.1,False
23,Player_C,94732.6,0.8,91701.9,-,-,18946.5,0.039,18946.5,-0.112,18946.5,0.013,18946.5,-0.1,False
23,Player_D,92021.8,0.8,89077.9,-,-,18404.4,0.039,18404.4,-0.112,18404.4,0.013,18404.4,-0.1,False
24,Player_A,100044.8,0.0,100044.8,1,0.0,0.0,0.237,0.0,-0.008,0.0,0.003,0.0,-0.083,True
24,Player_B,79259.6,0.9,83310.9,4,20785.2,23777.9,0.237,31703.9,-0.008,0.0,0.003,15851.9,-0.083,True
24,Player_C,91701.9,0.75,93733.5,2,8342.9,13755.3,0.237,18340.4,-0.008,22925.5,0.003,13755.3,-0.083,True
24,Player_D,89077.9,0.75,91051.3,3,10967.0,13361.7,0.237,17815.6,-0.008,22269.5,0.003,13361.7,-0.083,True
25,Player_A,100044.8,0.0,100044.8,-,-,0.0,0.091,0.0,-0.058,0.0,0.419,0.0,0.313,False
25,Player_B,83310.9,0.8,96062.1,-,-,16662.2,0.091,16662.2,-0.058,16662.2,0.419,16662.2,0.313,False
25,Player_C,93733.5,0.8,108080.0,-,-,18746.7,0.091,18746.7,-0.058,18746.7,0.419,18746.7,0.313,False
25,Player_D,91051.3,0.8,104987.3,-,-,18210.3,0.091,18210.3,-0.058,18210.3,0.419,18210.3,0.313,False
26,Player_A,100044.8,0.0,100044.8,3,8035.2,0.0,0.093,0.0,-0.0,0.0,0.024,0.0,-0.107,True
26,Player_B,96062.1,0.9,96695.8,4,12017.9,28818.6,0.093,38424.8,-0.0,0.0,0.024,19212.4,-0.107,True
26,Player_C,108080.0,0.5,107976.5,1,0.0,0.0,0.093,0.0,-0.0,43232.0,0.024,10808.0,-0.107,True
26,Player_D,104987.3,0.75,105411.2,2,3092.7,15748.1,0.093,20997.5,-0.0,26246.8,0.024,15748.1,-0.107,True
27,Player_A,100044.8,0.0,100044.8,-,-,0.0,0.14,0.0,0.247,0.0,0.032,0.0,-0.128,False
27,Player_B,96695.8,0.8,102328.9,-,-,19339.2,0.14,19339.2,0.247,19339.2,0.032,19339.2,-0.128,False
27,Player_C,107976.5,0.8,114266.8,-,-,21595.3,0.14,21595.3,0.247,21595.3,0.032,21595.3,-0.128,False
27,Player_D,105411.2,0.8,111552.1,-,-,21082.2,0.14,21082.2,0.247,21082.2,0.032,21082.2,-0.128,False
28,Player_A,100044.8,0.0,100044.8,4,14222.0,0.0,0.074,0.0,0.03,0.0,-0.001,0.0,-0.077,True
28,Player_B,102328.9,0.75,102878.4,3,11937.9,15349.3,0.074,20465.8,0.03,25582.2,-0.001,15349.3,-0.077,True
28,Player_C,114266.8,0.5,113334.4,1,0.0,0.0,0.074,0.0,0.03,45706.7,-0.001,11426.7,-0.077,True
28,Player_D,111552.1,0.75,112151.1,2,2714.7,16732.8,0.074,22310.4,0.03,27888.0,-0.001,16732.8,-0.077,True
29,Player_A,100044.8,0.0,100044.8,-,-,0.0,0.112,0.0,0.178,0.0,0.012,0.0,-0.041,False
29,Player_B,102878.4,0.8,108231.1,-,-,20575.7,0.112,20575.7,0.178,20575.7,0.012,20575.7,-0.041,False
29,Player_C,113334.4,0.8,119231.0,-,-,22666.9,0.112,22666.9,0.178,22666.9,0.012,22666.9,-0.041,False
29,Player_D,112151.1,0.8,117986.2,-,-,22430.2,0.112,22430.2,0.178,22430.2,0.012,22430.2,-0.041,False
30,Player_A,100044.8,0.0,100044.8,4,19186.2,0.0,0.151,0.0,0.075,0.0,0.012,0.0,-0.098,True
30,Player_B,108231.1,0.75,111049.8,3,10999.9,16234.7,0.151,21646.2,0.075,27057.8,0.012,16234.7,-0.098,True
30,Player_C,119231.0,0.5,118649.7,1,0.0,0.0,0.151,0.0,0.075,47692.4,0.012,11923.1,-0.098,True
30,Player_D,117986.2,0.75,121059.0,2,1244.8,17697.9,0.151,23597.2,0.075,29496.6,0.012,17697.9,-0.098,True
